Mnemonic,Extension,{cheri_base32_ext_name},{cheri_base64_ext_name},XLEN dependent encoding,funct3,major opcode,Format,{cheri_int_mode_name} mnemonic RV32,{cheri_int_mode_name} mnemonic RV64,Function,illegal insn if (1),OR illegal insn if (2),OR illegal insn if (3),illegal insn if (4),illegal insn if (5),illegal insn if (6),illegal insn if (7),illegal insn if (8)
LOAD_CAP,{cheri_base_ext_name},✔,✔,,3,MISC_MEM,I-type,,,{LOAD_CAP_DESC},,,,,,,,
STORE_CAP,{cheri_base_ext_name},✔,✔,,,STORE,S-type,,,{STORE_CAP_DESC},,,,,,,,,
C_LOAD_CAP_SP,{rvy_zca_ext_name},✔,✔,✔,,C2,,C.FLWSP,C.FLDSP,{C_LOAD_CAP_SP_NAME_DESC},,,,,,,,,
C_STORE_CAP_SP,{rvy_zca_ext_name},✔,✔,✔,,C2,,C.FSWSP,C.FSDSP,{C_STORE_CAP_SP_NAME_DESC} ,,,,,,,,,
C_LOAD_CAP,{rvy_zca_ext_name},✔,✔,✔,,C0,,C.FLW,C.FLD,{C_LOAD_CAP_NAME_DESC},,,,,,,,,
C_STORE_CAP,{rvy_zca_ext_name},✔,✔,✔,,C0,,C.FSW,C.FSD,{C_STORE_CAP_NAME_DESC} ,,,,,,,,,
AUIPC_CHERI,{rvy_i_mod_ext_name},✔,✔,,,,AUIPC,,,{AUIPC_CHERI_DESC},,,,,,,,,
{CADD},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{CADD_DESC},,,,,,,,,
{CADDI},{cheri_base_ext_name},✔,✔,,,OP,I-type,,,{CADDI_DESC},,,,,,,,,
{SCADDR},{cheri_base_ext_name},✔,✔,,,OP,R-type,,,{SCADDR_DESC},,,,,,,,,
{GCTAG},{cheri_base_ext_name},✔,✔,,,OP,1-src 1-dst,,,{GCTAG_DESC},,,,,,,,,
{GCPERM},{cheri_base_ext_name},✔,✔,,,OP,1-src 1-dst,,,{GCPERM_DESC},,,,,,,,,
{CMV},{cheri_base_ext_name},✔,✔,,,OP,1-src 1-dst,,,{CMV_DESC},,,,,,,,,
