"Mnemonic","RV32","RV64","Base ISA (I/E)","Zish4add","Zabhlrsc","{cheri_default_ext_name}","{cheri_base_ext_name}","Valid Modes","A","Zicbo[mpz]","Zba","C or Zca","Zcb","Zcf","Zcd","Zcmp","Zcmt","Zfh","F","D","V","XLEN dependent encoding","funct3","major opcode","Format","{cheri_int_mode_name} mnemonic RV32","{cheri_int_mode_name} mnemonic RV64","Function","illegal insn if (1)","OR illegal insn if (2)","OR illegal insn if (3)","illegal insn if (4)","illegal insn if (5)","illegal insn if (6)","illegal insn if (7)","illegal insn if (8)"
"LC","✔","✔","","","","✔","✔","Both","","","","","","","","","","","","","","✔","3","LOAD (RV32) / MISC_MEM (RV64)","I-type","","","Load cap via int pointer","","","","","","","",""
"SC","✔","✔","","","","✔","✔","Both","","","","","","","","","","","","","","✔","","STORE","S-type","","","Store cap via int pointer","","","","","","","",""
"C.LCSP","✔","✔","","","","","✔","{cheri_cap_mode_name}","","","","✔","","","","","","","","","","✔","","C2","","C.FLWSP","C.FLDSP","Load cap capability, SP relative ","","","","","","","",""
"C.SCSP","✔","✔","","","","","✔","{cheri_cap_mode_name}","","","","✔","","","","","","","","","","✔","","C2","","C.FSWSP","C.FSDSP","Store cap capability, SP relative ","","","","","","","",""
"C.LC","✔","✔","","","","","✔","{cheri_cap_mode_name}","","","","✔","","","","","","","","","","✔","","C0","","C.FLW","C.FLD","Load cap capability","","","","","","","",""
"C.SC","✔","✔","","","","","✔","{cheri_cap_mode_name}","","","","✔","","","","","","","","","","✔","","C0","","C.FSW","C.FSD","Store cap capability ","","","","","","","",""
"C.LWSP","✔","✔","","","","✔","✔","Both","","","","✔","","","","","","","","","","","","C2","","","","Load word capability, SP relative","","","","","","","",""
"C.SWSP","✔","✔","","","","✔","✔","Both","","","","✔","","","","","","","","","","","","C2","","","","Store word capability, SP relative","","","","","","","",""
"C.LW","✔","✔","","","","✔","✔","Both","","","","✔","","","","","","","","","","","","C0","","","","Load word capability","","","","","","","",""
"C.SW","✔","✔","","","","✔","✔","Both","","","","✔","","","","","","","","","","","","C0","","","","Store word capability ","","","","","","","",""
